id,title,slug,createdAt,updatedAt,parentId
clyhxvclm0029pcxc0a9zhw81,pendapatan,pendapatan,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvclm002apcxc01rogvjg,utang,utang,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvcln002bpcxcs6yas60x,pasar saham,pasar-saham,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvcln002cpcxctuvv6mcv,reformasi pendidikan,reformasi-pendidikan,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvcln002dpcxcm3ub5ttv,pendidikan tinggi,pendidikan-tinggi,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvclo002epcxcz3v5d0ap,phd,phd,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvclo002fpcxce0sdi0xv,mengajar,mengajar,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvclp002gpcxcypg6jz16,pengabdian,pengabdian,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvclp002hpcxc3u7i58cd,pertukaran pelajar,pertukaran-pelajar,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvclp002ipcxcf5et2ubi,disabilitas,disabilitas,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvclq002jpcxcknvgx8zl,diskriminasi,diskriminasi,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyhxvclq002kpcxc76vfbh6o,keberagaman,keberagaman,2024-07-12T00:07:40.426,2024-07-12T00:08:08.718,clyhwi98w0006pcxc5cp4eywy
clyilw9w10002k5890d10og3h,kalender akademik,kalender-akademik,2024-07-12T11:20:14.353,2024-07-12T11:20:14.353,null
clyir65bv00002p1439fiw9kf,ekraf,ekraf,2024-07-12T13:47:53.083,2024-07-12T13:47:53.083,null
clyir68q800012p14i6r4lk1w,merch,merch,2024-07-12T13:47:57.488,2024-07-13T02:08:46.215,cly42b4o80000e0epuhox87kq
clyjesfxs0000r75m3iq3jqf8,pemrograman,pemrograman,2024-07-13T00:49:04.433,2024-07-13T02:09:04.897,clyhwgdmi0001pcxcs8q3z03i
clyjfq6bo000013zwi9lge84n,english test,english-test,2024-07-13T01:15:18.276,2024-07-13T01:15:18.276,null
clyjfqc4m000113zwwihjuq7m,ptesol,ptesol,2024-07-13T01:15:25.799,2024-07-13T01:15:25.799,null
clyjhkycg0000ne5t1syfzzzc,berita himarpl,berita-himarpl,2024-07-13T02:07:13.888,2024-07-13T02:08:46.215,cly42b4o80000e0epuhox87kq
clyjkk1j90000o47xwiiqvmqx,developer announcement,developer-announcement,2024-07-13T03:30:30.213,2024-07-13T03:30:30.213,null
clyjm9e3o0000gh6v2ku3o6a0,rekapstore,rekapstore,2024-07-13T04:18:12.517,2024-07-13T04:18:12.517,null
clyjm9jm30001gh6vj0da7ni0,artikel,artikel,2024-07-13T04:18:19.659,2024-07-13T04:18:19.659,null
clyu5vbse0000a26aaqezdx5l,c++,c-plus-plus,2024-07-20T13:24:50.413,2024-07-20T13:26:58.831,clyhwgdmi0001pcxcs8q3z03i
clyu5xbfb0002a26arw749wqg,c,c,2024-07-20T13:26:23.255,2024-07-20T13:26:58.831,clyhwgdmi0001pcxcs8q3z03i
clyu5zcu600016sm9uokheojg,c#,c-sharp,2024-07-20T13:27:58.398,2024-07-20T13:28:24.594,clyhwgdmi0001pcxcs8q3z03i
